benchmark,pairwise_rank,method,pairwise_score,pooled_auc,pooled_rank,rank_change,separated_from_leader,leader,n_targets,n_eligible,n_entered
Binding,53,PredIDR2-Seq-Art,0.589494,0.684831,53,0,True,DisorderNet-Ensemble,49,72,120
Binding,54,LINKER-Pred-Lite,0.587543,0.567876,63,9,True,DisorderNet-Ensemble,49,72,120
Binding,55,DisEMBL-disHL,0.580925,0.641693,59,4,True,DisorderNet-Ensemble,49,72,120
Binding,56,AUCpred-no-profile,0.580597,0.706816,41,-15,True,DisorderNet-Ensemble,49,72,120
Binding,57,PredIDR2-Seq-Rnd,0.578036,0.692216,49,-8,True,DisorderNet-Ensemble,49,72,120
Binding,58,ESpritz-X,0.577224,0.707317,40,-18,True,DisorderNet-Ensemble,49,72,120
Binding,59,DisoRDPbind-prot,0.576503,0.724335,30,-29,True,DisorderNet-Ensemble,49,72,120
Binding,60,VSL2,0.571908,0.697531,45,-15,True,DisorderNet-Ensemble,49,72,120
Binding,61,ProBiPred-protein,0.571616,0.485059,68,7,False,DisorderNet-Ensemble,49,72,120
Binding,62,IsUnstruct,0.569786,0.696800,47,-15,True,DisorderNet-Ensemble,49,72,120
Binding,63,pyHCA,0.568362,0.720315,34,-29,True,DisorderNet-Ensemble,49,72,120
Binding,64,DISOPRED3-bind,0.560215,0.563196,64,0,True,DisorderNet-Ensemble,49,72,120
Binding,65,bindEmbed21IDR-idrGeneral,0.540069,0.451938,69,4,True,DisorderNet-Ensemble,49,72,120
Binding,66,DisEMBL-dis465,0.539677,0.621292,61,-5,True,DisorderNet-Ensemble,49,72,120
Binding,67,bindEmbed21IDR-rawGeneral,0.532487,0.450728,70,3,True,DisorderNet-Ensemble,49,72,120
Binding,68,DisoRDPbind-dna,0.525878,0.562985,65,-3,True,DisorderNet-Ensemble,49,72,120
Binding,69,bindEmbed21IDR-idrNuc,0.519408,0.496935,67,-2,True,DisorderNet-Ensemble,49,72,120
Binding,70,bindEmbed21IDR-rawNuc,0.517836,0.499077,66,-4,True,DisorderNet-Ensemble,49,72,120
Binding,71,DisoRDPbind-rna,0.430249,0.440906,71,0,True,DisorderNet-Ensemble,49,72,120
Binding,72,DFLpred,0.410360,0.319747,72,0,True,DisorderNet-Ensemble,49,72,120
Binding-IDR,1,LIPNet,0.722302,0.619452,3,2,False,LIPNet,42,72,120
Binding-IDR,2,bindEmbed21IDR-idrGeneral,0.693518,0.635364,2,0,False,LIPNet,42,72,120
Binding-IDR,3,bindEmbed21IDR-rawGeneral,0.693359,0.640662,1,-2,False,LIPNet,42,72,120
Binding-IDR,4,ProBiPred-protein,0.674157,0.612992,4,0,False,LIPNet,42,72,120
Binding-IDR,5,AIUPred-2-binding,0.666348,0.590353,6,1,False,LIPNet,42,72,120
Binding-IDR,6,DisorderNet-pbias,0.662797,0.606238,5,-1,False,LIPNet,42,72,120
Binding-IDR,7,ProBiPred-nucleic,0.649187,0.542124,13,6,False,LIPNet,42,72,120
Binding-IDR,8,DisorderNet-windowed,0.642912,0.494490,20,12,False,LIPNet,42,72,120
Binding-IDR,9,DisorderNet-Ensemble,0.632158,0.537151,14,5,False,LIPNet,42,72,120
Binding-IDR,10,bindEmbed21IDR-rawNuc,0.598207,0.581996,8,-2,False,LIPNet,42,72,120
Binding-IDR,11,bindEmbed21IDR-idrNuc,0.598080,0.579091,9,-2,False,LIPNet,42,72,120
Binding-IDR,12,DeepDISObind-nucleic,0.595894,0.523839,15,3,False,LIPNet,42,72,120
Binding-IDR,13,AlphaFold-binding,0.594033,0.517532,16,3,False,LIPNet,42,72,120
Binding-IDR,14,IPA-Protein-bind,0.585251,0.473362,26,12,False,LIPNet,42,72,120
Binding-IDR,15,AlphaFold3-binding,0.578435,0.511352,17,2,False,LIPNet,42,72,120
Binding-IDR,16,IPA-All-bind,0.568781,0.484572,23,7,False,LIPNet,42,72,120
Binding-IDR,17,ESpritz-D,0.565727,0.587196,7,-10,False,LIPNet,42,72,120
Binding-IDR,18,DeepDISObind-all,0.556071,0.497444,19,1,False,LIPNet,42,72,120
Binding-IDR,19,DeepDISObind-protein,0.547020,0.493412,21,2,False,LIPNet,42,72,120
Binding-IDR,20,DisoRDPbind-rna,0.514470,0.574876,10,-10,True,LIPNet,42,72,120
Binding-IDR,21,flDPnn3b,0.512684,0.484342,24,3,False,LIPNet,42,72,120
Binding-IDR,22,DisoRDPbind-dna,0.509913,0.542176,12,-10,True,LIPNet,42,72,120
Binding-IDR,23,DisorderUnetLM,0.498745,0.364188,67,44,False,LIPNet,42,72,120
Binding-IDR,24,DISOPRED3-bind,0.493688,0.474314,25,1,True,LIPNet,42,72,120
Binding-IDR,25,UdonPred-combined,0.484728,0.446247,34,9,True,LIPNet,42,72,120
Binding-IDR,26,IPA-Nucleotide-bind,0.482915,0.463963,27,1,True,LIPNet,42,72,120
Binding-IDR,27,DisoMine,0.482837,0.453385,31,4,False,LIPNet,42,72,120
Binding-IDR,28,UdonPred-DisProt,0.475929,0.415606,53,25,True,LIPNet,42,72,120
Binding-IDR,29,flDPnn2,0.460830,0.375304,64,35,True,LIPNet,42,72,120
Binding-IDR,30,DisEMBL-disHL,0.460471,0.508975,18,-12,True,LIPNet,42,72,120
Binding-IDR,31,flDPnn3a,0.456963,0.422204,49,18,True,LIPNet,42,72,120
Binding-IDR,32,flDPlr,0.454387,0.443566,37,5,True,LIPNet,42,72,120
Binding-IDR,33,DisoRDPbind-prot,0.448115,0.450009,32,-1,True,LIPNet,42,72,120
Binding-IDR,34,VSL2,0.448107,0.440293,38,4,True,LIPNet,42,72,120
Binding-IDR,35,AUCpred-profile,0.444145,0.460421,28,-7,True,LIPNet,42,72,120
Binding-IDR,36,ESpritz-X,0.439528,0.438561,39,3,True,LIPNet,42,72,120
Binding-IDR,37,PredIDR2-Prof-Rnd,0.438350,0.431893,43,6,True,LIPNet,42,72,120
Binding-IDR,38,DeepIDP-2L,0.434466,0.491663,22,-16,True,LIPNet,42,72,120
Binding-IDR,39,AIUPred,0.433292,0.422042,50,11,True,LIPNet,42,72,120
Binding-IDR,40,flDPnn,0.431602,0.394512,59,19,True,LIPNet,42,72,120
Binding-IDR,41,flDPlr2,0.430715,0.428485,46,5,True,LIPNet,42,72,120
Binding-IDR,42,MobiDB-lite,0.424540,0.437657,40,-2,True,LIPNet,42,72,120
Binding-IDR,43,LMDisorder,0.424412,0.409871,54,11,True,LIPNet,42,72,120
Binding-IDR,44,rawMSA,0.423856,0.560014,11,-33,True,LIPNet,42,72,120
Binding-IDR,45,SETH-1,0.422640,0.369217,66,21,True,LIPNet,42,72,120
Binding-IDR,46,DARUMA-beta,0.422310,0.453398,30,-16,True,LIPNet,42,72,120
Binding-IDR,47,PredIDR2-Seq-Rnd,0.420625,0.385049,62,15,True,LIPNet,42,72,120
Binding-IDR,48,Metapredict-v3,0.419834,0.383487,63,15,True,LIPNet,42,72,120
Binding-IDR,49,IsUnstruct,0.418064,0.431727,44,-5,True,LIPNet,42,72,120
Binding-IDR,50,AlphaFold3-rsa,0.416397,0.356017,69,19,True,LIPNet,42,72,120
Binding-IDR,51,PredIDR2-Seq-Art,0.413550,0.371834,65,14,True,LIPNet,42,72,120
Binding-IDR,52,ESpritz-N,0.412838,0.397965,58,6,True,LIPNet,42,72,120
Binding-IDR,53,AUCpred-no-profile,0.411816,0.446388,33,-20,True,LIPNet,42,72,120
Binding-IDR,54,SPOT-Disorder-Single,0.409519,0.445366,36,-18,True,LIPNet,42,72,120
Binding-IDR,55,PUNCH2-Light,0.408309,0.400783,56,1,True,LIPNet,42,72,120
Binding-IDR,56,PUNCH2,0.406859,0.389865,60,4,True,LIPNet,42,72,120
Binding-IDR,57,pyHCA,0.406588,0.445416,35,-22,True,LIPNet,42,72,120
Binding-IDR,58,Metapredict-v1,0.406083,0.422943,48,-10,True,LIPNet,42,72,120
Binding-IDR,59,DISOPRED3-diso,0.401854,0.434252,42,-17,True,LIPNet,42,72,120
Binding-IDR,60,PredIDR2-Prof-Art,0.396405,0.435785,41,-19,True,LIPNet,42,72,120
Binding-IDR,61,AlphaFold-rsa,0.395464,0.322049,72,11,True,LIPNet,42,72,120
Binding-IDR,62,AIUPred-2-disorder,0.394106,0.418139,52,-10,True,LIPNet,42,72,120
Binding-IDR,63,DFLpred,0.392810,0.418765,51,-12,True,LIPNet,42,72,120
Binding-IDR,64,DisEMBL-dis465,0.382712,0.423291,47,-17,True,LIPNet,42,72,120
Binding-IDR,65,UdonPred-TriZOD,0.379588,0.400067,57,-8,True,LIPNet,42,72,120
Binding-IDR,66,LINKER-Pred2,0.370623,0.457087,29,-37,True,LIPNet,42,72,120
