benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-PDB,pyHCA,0.05,0.9148,0.8873,0.9299,0.0496,0.8910,-0.0238,12
Disorder-PDB,rawMSA-disorder,0.2,0.4295,0.3893,0.4639,0.1888,0.3490,-0.0805,12
Disorder-PDB,rawMSA-disorder,0.1,0.5921,0.5693,0.6116,0.0913,0.5210,-0.0711,12
Disorder-PDB,rawMSA-disorder,0.05,0.7134,0.6977,0.7489,0.0412,0.7070,-0.0064,12
Disorder-PDB,rawMSA,0.2,0.3894,0.3839,0.4086,0.2208,0.3760,-0.0134,12
Disorder-PDB,rawMSA,0.1,0.5075,0.4821,0.5272,0.1039,0.5840,0.0765,12
Disorder-PDB,rawMSA,0.05,0.6584,0.6185,0.7155,0.0465,0.7670,0.1086,12
Disorder-PDB,DisorderNet-windowed,0.2,0.2352,0.2283,0.2549,0.2204,0.2460,0.0108,12
Disorder-PDB,DisorderNet-windowed,0.1,0.3202,0.3005,0.3354,0.1025,0.3980,0.0778,12
Disorder-PDB,DisorderNet-windowed,0.05,0.4689,0.4477,0.4830,0.0418,0.5510,0.0821,12
Disorder-PDB,DisorderNet-pbias,0.2,0.2403,0.2209,0.2535,0.2194,0.2420,0.0017,12
Disorder-PDB,DisorderNet-pbias,0.1,0.3459,0.3238,0.3790,0.0972,0.3950,0.0491,12
Disorder-PDB,DisorderNet-pbias,0.05,0.4908,0.4729,0.5151,0.0425,0.5490,0.0582,12
Disorder-NOX,AIUPred-2-binding,0.2,0.5894,0.5733,0.6286,0.2103,0.6220,0.0326,12
Disorder-NOX,AIUPred-2-binding,0.1,0.7210,0.6930,0.7459,0.1185,0.8390,0.1180,12
Disorder-NOX,AIUPred-2-binding,0.05,0.8589,0.8210,0.9057,0.0609,0.9420,0.0831,12
Disorder-NOX,AIUPred-2-disorder,0.2,0.5031,0.4857,0.5359,0.2218,0.5490,0.0459,12
Disorder-NOX,AIUPred-2-disorder,0.1,0.6811,0.6609,0.7426,0.1152,0.7240,0.0429,12
Disorder-NOX,AIUPred-2-disorder,0.05,0.8247,0.7826,0.8502,0.0426,0.8910,0.0663,12
Disorder-NOX,ANCHOR2,0.2,0.6590,0.6509,0.6766,0.2045,0.6570,-0.0020,12
Disorder-NOX,ANCHOR2,0.1,0.8011,0.7963,0.8164,0.0854,0.8270,0.0259,12
Disorder-NOX,ANCHOR2,0.05,0.9309,0.9231,0.9349,0.0366,0.9200,-0.0109,12
Disorder-NOX,AUCpred-no-profile,0.2,0.5129,0.4810,0.5386,0.2155,0.5040,-0.0089,12
Disorder-NOX,AUCpred-no-profile,0.1,0.6795,0.6433,0.7240,0.0959,0.6990,0.0195,12
Disorder-NOX,AUCpred-no-profile,0.05,0.8411,0.7986,0.8619,0.0411,0.8990,0.0579,12
Disorder-NOX,AUCpred-profile,0.2,0.4779,0.4467,0.4833,0.1979,0.5080,0.0301,12
Disorder-NOX,AUCpred-profile,0.1,0.6406,0.6018,0.6639,0.0943,0.6950,0.0544,12
Disorder-NOX,AUCpred-profile,0.05,0.7863,0.7340,0.7926,0.0364,0.8450,0.0587,12
Disorder-NOX,AlphaFold-binding,0.2,0.4569,0.4478,0.4715,0.1951,0.4900,0.0331,12
Disorder-NOX,AlphaFold-binding,0.1,0.6019,0.5754,0.6251,0.0830,0.6530,0.0511,12
Disorder-NOX,AlphaFold-binding,0.05,0.7592,0.7326,0.7807,0.0411,0.8230,0.0638,12
Disorder-NOX,AlphaFold-pLDDT,0.2,0.4524,0.4449,0.4758,0.1729,0.4800,0.0276,12
